nn;nm;vid;ob;up
25;иаск. квитовка гашения процентов, перенесенных из просроченных;Не используется;0;?
12209;пустая операция;Не используется;0;?
2;sbe учет процентов за кредит;Не используется;0;?
2;плата за предоставленный кредит;Гашение;Комиссия;?
2;гашение учтенных процентов за пр кредит (112);Гашение;Проценты;?
8;присуждение расходов на экспертизу;Не используется;0;?
3;перенос неустойки за просрочку основного долга из другого договора при переводе долга;Не используется;0;?
18;-неустойка за просрочку платы за резервирование ресурсов;Не используется;0;?
39109;уменьшение лимита;Не используется;0;?
20;гашение просроченной платы за выдачу кредита/открытие кредитной линии;Гашение;Комиссия;?
5914;уменьшение резерва;Не используется;0;?
26;перенос неустойки за просрочку процентов долга в другой договор при переводе долга;Не используется;0;?
20;гашение учтенных на внебалансе процентов-отложенных;Гашение;Проценты;?
74;иаск. квитовка платы за ведение ссудного счета;Не используется;0;?
4;импорт: уменьшение присужденного просроч. основного долга;Не используется;0;U
200;гашение просроченной платы за пользование открытым лимитом;Гашение;Комиссия;?
136;иаск. квитовка платы за обслуживание;Не используется;0;?
114;перенос просроченных процентов на в/б в присужденные к получению;Не используется;0;?
230;иаск. квитовка гашения платы за выдачу кредита_сев;Не используется;0;?
204;гашение просроченной платы за обслуживание кредита (в абсолютном выражении);Гашение;Комиссия;?
6;вынос на просрочку процентов, зафиксированных в дату реструктуризации;Не используется;0;?
204604;гашение учтенных на внебалансе процентов;Гашение;Проценты;?
115;списание учт. неуст. за пр.процентов, признанной в дату реструктуризации, на в/б;Списание;Пени;?
21;.плата за предоставление кредита;Гашение;Комиссия;?
13;списание неустойки за просрочку платы за использование лимита (присужденная) за счет резерва;Списание;Пени;?
833;списание неустойки за кредит (присужденной) на в/б;Списание;Пени;?
101;перенос просроченной платы за обслуживание кредита в присужденную к получению;Не используется;0;?
21885;комиссия за открытие лимита / счета;Гашение;Комиссия;?
10;зачисление на счет аванса;Не используется;0;?
3412;постановка на счет переплаты;Не используется;0;?
835;списание просроченных процентов на внебалансе;Списание;Проценты;?
2;-возмещение неучтенные проценты (юрл);Не используется;0;?
7;фиксирование в дату реструктуризации просроченной платы за использование лимита;Не используется;0;?
22;плата за изменение условий кредитования;Гашение;Комиссия;?
6;вынос на просрочку платы за обслуживание кредита (фиксированная сумма) без учета;Не используется;0;?
6;вынос платы за ведение ссудного счета на просрочку;Не используется;0;?
4;гашение компенсации пени за просроченный кредит;Не используется;0;U
22;гашение неустойки за пр.проценты, признанной в дату реструктуризации;Гашение;Пени;?
23;плата за организацию ипотечной сделки;Гашение;Комиссия;?
9;перенос процентов из просроченных в срочные(внеб.);Не используется;0;?
120;импорт: увеличение основного долга;Выдача;Основной долг;U
23;гашение учтенной платы за обслуживание кредита;Гашение;Комиссия;?
44;импорт. увеличение пени по кредиту;Не используется;0;?
36;импорт: уменьшение просроченной платы за обслуживание кредита;Не используется;0;?
358;-просроченная плата за ведение ссудного счета;Не используется;0;?
72;+неустойка за просрочку платы за использование лимита;Не используется;0;?
24;закрытие кредитной линии;Не используется;0;?
4;учет платы за открытие лимита овердрафта;Не используется;0;?
373012;восстановление лимита;Не используется;0;?
232487;плата за ведение ссудного счета;Гашение;Комиссия;?
294;импорт: уменьшение пени по осн. долгу;Не используется;0;?
8;продажа. списание пени по кредиту;Не используется;0;?
1;перенос резерва просрочки на счет резерва;Не используется;0;U
1;списание процентов по проср. кредитам на внебаланс;Списание;Проценты;?
2;присуждение просроченной платы за неполное исполнение обязательств в части страхования;Не используется;0;?
13103;вынос на просрочку платы за ведение ссудного счета;Не используется;0;?
18;списание просроченной задолженности по процентам (присужденной) на в/б;Списание;Проценты;?
26;перенос учтенных процентов из другого договора при переводе долга;Не используется;0;?
233;.плата за изменение в кред док;Гашение;Комиссия;?
24;гашение учт на внеб процентов за пр кредит (112);Гашение;Проценты;?
21;учет комиссии за использование лимита;Не используется;0;?
8;перенос досрочно уплаченной платы за открытый лимит со счета 47422.99 на доходы;Не используется;0;?
25;гашение учтенных процентов-отложенных;Гашение;Проценты;?
2;вынос на проср. процентов за пр кредит(112) (в/б);Не используется;0;U
31797;вынос учтенных процентов на просрочку;Не используется;0;?
620;-неучтенные проценты за кредит;Не используется;0;?
11;вынос платы за неполное исполнение обязательств в части страхования;Не используется;0;?
1443;+ссудная задолженность;Выдача;Основной долг;U
2;списание проср. процентов на внебаланс;Не используется;0;U
257;гашение неустойки по плате за неполное исполнение обязательств в части объема обеспечения;Гашение;Пени;?
56;+присуждение пени за кредит_иаск;Не используется;0;?
19;задолженность на момент отчуждения;Не используется;0;?
26;гашение присужденной неустойки по плате за ведение ссудного счета;Гашение;Пени;?
72;импорт: увеличение пени по осн. долгу;Не используется;0;?
260;плата за неполное исп. усл. кредитного дог.(обесп);Гашение;Комиссия;?
351;вынос сроч. проц. на внеб., перенеcенных из просроч., на просроч. проц. на в/б;Не используется;0;?
1;списание неуст. за пр.проценты, признанной в дату реструктуризации;Списание;Пени;?
264;-учтенные проценты за кредит_иаск;Гашение;Проценты;U
12;учет плата за неполное исполнение условий (страх.);Не используется;0;?
2;гашение просроченной платы за пользование лимитом присужденной к получению;Не используется;0;U
285;гашение кредита списанного на внебаланс;Гашение;Основной долг;?
7;учёт неуст. за пр.кредит в дату реструктуризации;Не используется;0;?
740;+просроченная задолженность по процентам;Не используется;0;?
399;+плата за использование лимита;Не используется;0;?
1;+зафиксированная в дату реструктуризации просроченная плата за использование лимита;Не используется;0;?
19;вынос учтенная плата за использование лимита;Не используется;0;U
6641;возврат излишне уплаченной суммы;Не используется;0;?
2;вынос учтенных на внебалансе процентов-отложенных на просрочку;Не используется;0;?
741;присуждение неустойки по плате за обслуживание кредита;Не используется;0;?
34389;формирование/доначисление рвп по срочным%%;Не используется;0;?
707;списание просроченных процентов на внебаланс за счет резерва;Списание;Проценты;?
7;импорт: уменьшение учтенных процентов;Не используется;0;?
3;перенос процентов, учтенных на  внебалансе в отложенные;Не используется;0;?
2524;+плата за обслуживание кредита (в % годовых);Не используется;0;?
29;гашение неустойки за невыполнение заемщиком обязательств по обеспечению поступлений выручки;Гашение;Пени;?
22;списание просроченной платы за пользование лимитом за счет резерва;Списание;Комиссия;?
26;зачисление аванса;Не используется;0;?
3;отказ банка от неустойки за просрочку процентов;Не используется;0;?
5;вынос учтенная плата за резервирование ресурса;Не используется;0;?
41;списание госпошлины и др. затрат за счет резерва;Списание;Госпошлина;?
209;списание неустойки по плате за обслуживание кредита (присужденной) на в/б;Списание;Пени;?
3;+комиссия за досрочное погашение кредита;Не используется;0;?
168;присуждение просроченной платы за обслуживание кредита;Не используется;0;?
15;-плата за резервирование ресурса;Не используется;0;?
6;вынос процентов на просрочку;Не используется;0;?
1085;начисление платы за досрочный возврат кредита;Не используется;0;?
3;гашение судебных издержек;Гашение;Госпошлина;?
3;гашение процентов по договору;Гашение;Проценты;?
230;перенос досрочно уплаченной платы за обслуживание (фикс.) со счета 47422.99 на доходы;Не используется;0;?
8;возврат излишне перечисленных средств;Не используется;0;?
3;гашение присужденной просроченной платы за использование лимита;Гашение;Комиссия;?
917;+срочные проценты на внебалансе;Не используется;0;?
3;гашение неустойки по плате за неполное исполнение обязательств в части страхования;Гашение;Пени;?
2;перенос учтенных на балансе процентов в отложенные;Не используется;0;?
60;sas;Не используется;0;?
45;вынос перенесенной в срочную просроченной платы за обслуживание кредита;Не используется;0;?
2;вынос  на просрочку вознаграждения по банковской гарантии;Не используется;0;?
134;признание неустойки по пр.процентам в дату реструктуризации;Не используется;0;?
149;+госпошлина присужденная_иаск;Не используется;0;?
3;.плата за неполный объем обеспечения;Гашение;Комиссия;?
7;продажа. отражение убытков от реализации;Не используется;0;?
1;открытие счетов;Не используется;0;U
29;присуждение просроченной платы за использование лимита;Не используется;0;?
187;начисление неустойки по плате за обслуживание кредита (в абсолютном выражении);Не используется;0;?
452056;учет процентов за кредит на внебалансе;Начисление;Проценты;U
3;гашение пр. процентов на внебалансе;Гашение;Проценты;?
1;к удалению.возмещение - гашение задолженности по процентам;Не используется;0;?
30;присуждение расходов на оценку залога;Не используется;0;?
3;гашение неустойки за просрочку по плате за необеспечение;Гашение;Пени;?
1;-зафиксированная в дату реструктуризации просроченная плата за использование лимита;Не используется;0;?
2;продажа. списание присужденной госпошлины;Не используется;0;?
120;импорт: увеличение неучтенных процентов;Не используется;0;?
3;комиссия;Гашение;Комиссия;?
3;уплата комиссии за выдачу гарантии;Гашение;Комиссия;?
3;гашение пени, присужденной судом;Гашение;Пени;?
489;списание неполученных просроченных % на в/б;Списание;Проценты;?
1;учет плата за открытие лимита овердрафта;Не используется;0;U
489638;постановка договора обеспечения на внебаланс;Не используется;0;?
300;плата за неполное исп. усл. кредитного дог.(страх);Гашение;Комиссия;?
312;гашение присужденной просроченной задолж. по проц. на внебалансе;Гашение;Проценты;?
