BO_ID;FEATURE_ID;MIN;MAX;categorial
585;PRODUCT;;;1-M813EC
585;CREDIT_MODE;;;Credit Contract
585;CREDIT_INSTRUMENT;;;Credit
585;TARGET_GR;;;01
586;DUR;12.0;18.0;
586;EXP;0.15;0.16;
586;AVP;0.0;0.01;
586;PRIV;0.75;1.0;
586;BALLOON;0.75;1.0;
586;PD;0.0;0.0048;
586;LGD;0;1;
586;CURRENCY;;;RUR
586;PRODUCT;;;1-M813EC
586;CREDIT_MODE;;;Credit Contract
586;CREDIT_INSTRUMENT;;;Credit
586;TARGET_GR;;;01
587;DUR;12.0;18.0;
587;EXP;0.16;0.17;
587;AVP;0.0;0.01;
587;PRIV;0.75;1.0;
587;BALLOON;0.75;1.0;
587;PD;0.0;0.0048;
587;LGD;0;1;
587;CURRENCY;;;RUR
587;PRODUCT;;;1-M813EC
587;CREDIT_MODE;;;Credit Contract
587;CREDIT_INSTRUMENT;;;Credit
587;TARGET_GR;;;01
590;DUR;12.0;18.0;
590;EXP;0.21;0.22;
590;AVP;0.0;0.01;
590;PRIV;0.0;0.25;
590;BALLOON;0.0;0.25;
590;PD;0.0048;0.0091;
590;LGD;0;1;
590;CURRENCY;;;RUR
590;PRODUCT;;;1-M813EC
590;CREDIT_MODE;;;Credit Contract
590;CREDIT_INSTRUMENT;;;Credit
590;TARGET_GR;;;01
591;DUR;12.0;18.0;
591;EXP;0.08;0.09;
591;AVP;0.0;0.01;
591;PRIV;0.5;0.75;
591;BALLOON;0.5;0.75;
591;PD;0.0091;0.01725;
591;LGD;0;1;
591;CURRENCY;;;RUR
591;PRODUCT;;;1-M813EC
591;CREDIT_MODE;;;Credit Contract
591;CREDIT_INSTRUMENT;;;Credit
591;TARGET_GR;;;01
592;DUR;12.0;18.0;
592;EXP;0.07;0.08;
592;AVP;0.0;0.01;
592;PRIV;0.75;1.0;
592;BALLOON;0.75;1.0;
592;PD;0.0048;0.0091;
592;LGD;0;1;
592;CURRENCY;;;RUR
592;PRODUCT;;;1-M813EC
592;CREDIT_MODE;;;Credit Contract
